,environment_full,task,is_amb,question,all_variants,answer
0,"kitchen towel, blender, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, bell pepper, cucumber, black pepper, tomato, sunflower oil, coconut oil, olive oil, black tea bags, green tea bags, fresh mozzarella package, cream cheese, cottage cheese, mozzarella sticks, cheddar cheese slices, vanilla yogurt cup, strawberry yogurt cup","Kitchen Robot, please blend a bell pepper, a cucumber, a tomato, and a tablespoon of oil in the blender to make a fresh vegetable juice.",True,Which type of oil should be used for blending the vegetables?,variants_clean,Olive oil.
1,"kitchen towel, blender, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, bell pepper, cucumber, black pepper, tomato, sunflower oil, coconut oil, olive oil, black tea bags, green tea bags, fresh mozzarella package, cream cheese, cottage cheese, mozzarella sticks, cheddar cheese slices, vanilla yogurt cup, strawberry yogurt cup","Robot, please use the blender to mix a bell pepper, a cucumber, a tomato, and a tablespoon of olive oil to create a fresh vegetable juice.",False,Which type of oil should be used for blending the vegetables?,variants_clean,Olive oil.
2,"a knife block, a garlic press, a frying pan, a grill pan, a saucepan, an energy bar, eggs, black tea bags, green tea bags, sea salt, table salt, canned olives","Kitchen Robot, please heat up some water and prepare a cup of black tea.",True,Can I use the microwave to heat up water for the tea?,"Sunflower oil
Coconut oil
Olive oil","No, please use the tea kettle on the stove instead."
3,"a knife block, a garlic press, a frying pan, a grill pan, a saucepan, an energy bar, eggs, black tea bags, green tea bags, sea salt, table salt, canned olives","Robot, please heat up water in the tea kettle and make a cup of black tea.",False,Can I use the microwave to heat up water for the tea?,"Sunflower oil
Coconut oil
Olive oil","No, please use the tea kettle on the stove instead."
4,"a garlic press, a corkscrew, sunflower oil, olive oil, coconut oil, a bell pepper, a carrot, a tomato, uncut white bread, sliced whole wheat bread, a stove, a microwave","Kitchen Robot, please chop the bell pepper, carrot, and tomato using the garlic press as a chopping tool, and then sauté the vegetables in a pan with a tablespoon of oil over medium heat for 5 minutes. Serve the vegetables on a slice of whole wheat bread.",True,Which type of oil should I add to the pan?,"Yes, you can use the microwave to heat up water for the tea.
No, you cannot use the microwave to heat up water for the tea.",Olive oil.
5,"a garlic press, a corkscrew, sunflower oil, olive oil, coconut oil, a bell pepper, a carrot, a tomato, uncut white bread, sliced whole wheat bread, a stove, a microwave","Hey kitchen assistant, please dice the bell pepper, carrot, and tomato using the garlic press as a cutter, and then cook the veggies in a pan with a tablespoon of olive oil over medium heat for 5 minutes. Serve the sautéed vegetables on a piece of whole grain bread.",False,Which type of oil should I add to the pan?,"Yes, you can use the microwave to heat up water for the tea.
No, you cannot use the microwave to heat up water for the tea.",Olive oil.
6,"a large mixing bowl, a small mixing bowl, a frying pan, a grill pan, a saucepan, oven mitts, a cabbage, a cucumber, a carrot, muesli, cornflakes, tomato paste, mustard, ketchup","Kitchen Robot, please chop the cabbage, cucumber, and carrot into small pieces and place them in a mixing bowl.",True,Where should the chopped vegetables be placed after chopping?,"Sunflower oil
Olive oil
Coconut oil",In a large mixing bowl on the kitchen table.
7,"a large mixing bowl, a small mixing bowl, a frying pan, a grill pan, a saucepan, oven mitts, a cabbage, a cucumber, a carrot, muesli, cornflakes, tomato paste, mustard, ketchup","Dear kitchen assistant, could you kindly dice the cabbage, cucumber, and carrot into small pieces and transfer them to a spacious mixing bowl on the kitchen table? Thank you!",False,Where should the chopped vegetables be placed after chopping?,"Sunflower oil
Olive oil
Coconut oil",In a large mixing bowl on the kitchen table.
8,"a chair, a ladle, a spatula, coconut oil, sunflower oil, a bell pepper, an onion, a tomato, eggs","Kitchen Robot, please chop the onion and bell pepper into small pieces.",True,Which tools should the robot use to chop the vegetables?,"Place the chopped vegetables in a mixing bowl
Put the chopped vegetables in a mixing bowl
Transfer the chopped vegetables to a mixing bowl",The robot should use a knife and cutting board.
9,"a chair, a ladle, a spatula, coconut oil, sunflower oil, a bell pepper, an onion, a tomato, eggs","Robot, please dice the onion and bell pepper into small pieces using a blade and chopping surface.",False,Which tools should the robot use to chop the vegetables?,"Place the chopped vegetables in a mixing bowl
Put the chopped vegetables in a mixing bowl
Transfer the chopped vegetables to a mixing bowl",The robot should use a knife and cutting board.
